max_ram_mib,workload,n,running,batch_ms_median,fp_mib,held_mib,guest_avail_mib,psi_some,errors_cum
8192,nginx,360,360,92,7465,1783,1039,0.00,0
8192,nginx,370,370,96,7583,1783,915,0.00,0
8192,nginx,380,380,95,7710,1783,807,0.00,0
8192,nginx,390,390,94,7845,1783,663,0.00,0
8192,nginx,400,400,90,7981,1168,1131,0.00,0
8192,nginx,410,410,91,8139,1168,1004,0.00,0
8192,nginx,420,420,94,8253,1168,870,0.00,0
8192,nginx,430,430,96,8383,1168,721,0.00,0
8192,nginx,440,440,93,8494,1168,633,0.00,0
8192,nginx,450,450,95,8684,430,1146,0.00,0
8192,nginx,460,460,94,8835,430,1013,0.00,0
8192,nginx,470,470,95,8992,430,889,0.00,0
8192,nginx,480,480,92,9129,430,761,0.00,0
8192,nginx,490,490,92,9250,430,685,0.00,0
8192,nginx,500,500,94,9339,430,592,0.00,0
8192,hog:256,10,1,68,2464,0,7676,0.00,0
8192,hog:256,20,1,67,2471,0,7671,0.00,0
8192,hog:256,30,1,48,2474,0,7669,0.00,0
8192,hog:256,40,2,72,2478,0,7665,0.00,0
8192,hog:256,50,1,68,2481,0,7664,0.00,0
8192,hog:256,60,1,68,2484,0,7662,0.00,0
8192,hog:256,70,1,65,2487,0,7662,0.00,0
8192,hog:256,80,1,68,2490,0,7659,0.00,0
8192,hog:256,90,1,81,2493,0,7656,0.00,0
8192,hog:256,100,1,70,2497,0,7655,0.00,0
8192,hog:256,110,2,65,2500,0,7650,0.00,0
8192,hog:256,120,2,67,2503,0,7646,0.00,0
8192,hog:256,130,1,66,2506,0,7645,0.00,0
8192,hog:256,140,1,72,2510,0,7642,0.00,0
8192,hog:256,150,1,68,2512,0,7641,0.00,0
8192,hog:256,160,1,68,2515,0,7636,0.00,0
8192,hog:256,170,1,70,2518,0,7635,0.00,0
8192,hog:256,180,1,68,2522,0,7634,0.00,0
8192,hog:256,190,1,65,2525,0,7630,0.00,0
8192,hog:256,200,1,57,2528,0,7627,0.00,0
8192,hog:256,210,1,67,2530,0,7625,0.00,0
8192,hog:256,220,2,70,2535,0,7622,0.00,0
8192,hog:256,230,1,70,2538,0,7620,0.00,0
8192,hog:256,240,2,68,2540,0,7616,0.00,0
8192,hog:256,250,1,68,2545,0,7615,0.00,0
8192,hog:256,260,1,70,2547,0,7613,0.00,0
8192,hog:256,270,1,68,2551,0,7611,0.00,0
8192,hog:256,280,2,68,2554,0,7609,0.00,0
8192,hog:256,290,1,58,2557,0,7605,0.00,0
8192,hog:256,300,1,58,2560,0,7601,0.00,0
8192,hog:256,310,1,48,2564,0,7598,0.00,0
8192,hog:256,320,1,68,2568,0,7596,0.00,0
8192,hog:256,330,1,68,2570,0,7594,0.00,0
8192,hog:256,340,1,68,2573,0,7592,0.00,0
8192,hog:256,350,1,69,2576,0,7589,0.00,0
8192,hog:256,360,1,68,2578,0,7586,0.00,0
8192,hog:256,370,1,68,2581,0,7586,0.00,0
8192,hog:256,380,1,58,2584,0,7581,0.00,0
8192,hog:256,390,1,66,2588,0,7578,0.00,0
8192,hog:256,400,1,72,2590,0,7576,0.00,0
8192,hog:256,410,1,58,2594,0,7573,0.00,0
8192,hog:256,420,1,57,2597,0,7570,0.00,0
8192,hog:256,430,1,69,2599,0,7568,0.00,0
8192,hog:256,440,1,71,2601,0,7565,0.00,0
8192,hog:256,450,1,70,2605,0,7561,0.00,0
8192,hog:256,460,1,70,2608,0,7557,0.00,0
8192,hog:256,470,1,71,2611,0,7554,0.00,0
8192,hog:256,480,1,70,2614,0,7552,0.00,0
8192,hog:256,490,1,71,2617,0,7551,0.00,0
8192,hog:256,500,1,68,2621,0,7545,0.00,0
8192,hog:256,510,1,67,2623,0,7544,0.00,0
8192,hog:256,520,2,68,2627,0,7542,0.00,0
8192,hog:256,530,1,69,2635,6265,1259,0.00,0
8192,hog:256,540,1,68,2637,6265,1265,0.00,0
8192,hog:256,550,3,259,2638,6265,1265,0.00,0
8192,hog:256,560,1,73,2642,6265,1263,0.00,0
8192,hog:256,570,1,68,2647,6265,1256,0.00,0
8192,hog:256,580,1,69,2655,6265,1245,0.00,0
8192,hog:256,590,1,70,2660,6265,1240,0.00,0
8192,hog:256,600,1,68,2667,6265,1235,0.00,0
8192,hog:256,610,1,70,2671,6265,1232,0.00,0
8192,hog:256,620,1,48,2676,6265,1226,0.00,0
8192,hog:256,630,2,48,2679,6265,1224,0.00,0
8192,hog:256,640,1,68,2683,6265,1222,0.00,0
8192,hog:256,650,1,72,2685,6265,1218,0.00,0
8192,hog:256,660,1,66,2691,6265,1213,0.00,0
8192,hog:256,670,1,57,2694,6265,1208,0.00,0
8192,hog:256,680,1,68,2699,6265,1207,0.00,0
8192,hog:256,690,1,72,2702,6265,1205,0.00,0
8192,hog:256,700,1,71,2704,6265,1201,0.00,0
8192,hog:256,710,1,69,2708,6265,1200,0.00,0
